offset,length,bits,mask,stream_class,profile_id,baseline_bytes,mini_bytes,donor_bytes,combined_bytes,selected_bytes,mini_gain_bytes,donor_gain_bytes,combined_gain_bytes,best_mode,best_gain_bytes
117700,444,3558,114688,9,0,10.4807703194,10.4822201838,10.4829264997,10.4843845397,10.4843845397,-0.00144986439352,-0.00215618036509,-0.00361422031472,baseline,0
118170,688,5509,114688,6,0,19.1298135445,19.1311482842,19.1070884715,19.1084335433,19.1084335433,-0.00133473966935,0.022725073014,0.0213800012011,donor_profile,0.022725073014
118894,458,3667,114688,9,0,12.4631873046,12.4622409604,12.4890513167,12.4880959426,12.4880959426,0.000946344240219,-0.0258640120928,-0.0249086379345,mini_cmix,0.000946344240219
119378,452,3621,114688,9,0,9.34290416757,9.34310598158,9.35339028452,9.3535779027,9.3535779027,-0.000201814012485,-0.0104861169484,-0.0106737351338,baseline,0
119856,608,4870,114688,1,0,19.5427941867,19.5428568309,19.5082934973,19.5083561721,19.5083561721,-6.26441537861e-05,0.0345006894258,0.0344380146184,donor_profile,0.0345006894258
120498,693,5544,114688,6,0,20.1960057068,20.1914281638,20.1895739686,20.1850005344,20.1850005344,0.00457754294291,0.00643173812932,0.0110051723999,mini_donor,0.0110051723999
121228,495,3967,114688,9,0,27.1344164488,27.1338797988,27.1243921385,27.1238291798,27.1238291798,0.000536649935384,0.0100243103079,0.0105872689555,mini_donor,0.0105872689555
121750,969,7756,114688,6,0,93.4568876132,93.4545718152,93.4845231046,93.4823237773,93.4823237773,0.00231579804085,-0.0276354913476,-0.0254361640896,mini_cmix,0.00231579804085
122766,678,5426,114688,6,0,20.3213629717,20.320070041,20.3250080903,20.3237195513,20.3237195513,0.00129293063401,-0.00364511866519,-0.0023565796655,mini_cmix,0.00129293063401
123481,458,3667,114688,9,0,10.8567449664,10.8569485907,10.8638018847,10.8640060474,10.8640060474,-0.0002036243161,-0.0070569183672,-0.00726108100503,baseline,0
123965,808,6465,114688,9,0,66.9090087793,66.909994057,66.932184742,66.9331692511,66.9331692511,-0.000985277700124,-0.0231759626658,-0.0241604718257,baseline,0
124818,635,5083,114688,6,0,31.6653076379,31.6641073044,31.594909235,31.5937021509,31.5937021509,0.00120033350322,0.070398402846,0.0716054869363,mini_donor,0.0716054869363
125485,444,3559,114688,9,0,11.0685882642,11.0683655418,11.0963282322,11.0960986322,11.0960986322,0.000222722441663,-0.0277399679326,-0.0275103679825,mini_cmix,0.000222722441663
125954,635,5082,114688,6,0,15.4054025335,15.4050747016,15.4096497049,15.4093329704,15.4093329704,0.000327831907043,-0.00424717138503,-0.00393043691679,mini_cmix,0.000327831907043
126623,579,4635,114688,1,0,17.1550262461,17.1551148998,17.1641988395,17.1642879291,17.1642879291,-8.86537441147e-05,-0.00917259342441,-0.00926168296746,baseline,0
127233,448,3585,114688,9,0,10.9225017419,10.9218026555,10.9374244058,10.9367257462,10.9367257462,0.000699086446843,-0.0149226639041,-0.0142240042622,mini_cmix,0.000699086446843
127706,613,4908,114688,6,0,16.3847118243,16.3850884366,16.3347509169,16.335155011,16.335155011,-0.000376612258378,0.0499609074241,0.0495568132762,donor_profile,0.0499609074241
128351,448,3589,114688,9,0,11.5239542114,11.5242042847,11.4964764599,11.496736785,11.496736785,-0.000250073274174,0.027477751456,0.0272174263839,donor_profile,0.027477751456
128825,703,5630,114688,6,0,19.7319220883,19.7366483689,19.7239416981,19.7286454103,19.7286454103,-0.00472628060425,0.00798039023448,0.00327667801548,donor_profile,0.00798039023448
129564,450,3604,114688,9,0,12.5831375155,12.5852179378,12.5930308392,12.5951096625,12.5951096625,-0.00208042234146,-0.0098933236759,-0.0119721469929,baseline,0
130040,602,4820,114688,1,0,18.2842845635,18.2845902566,18.3021443762,18.3024500124,18.3024500124,-0.000305693175051,-0.0178598127432,-0.0181654489093,baseline,0
130675,451,3608,114688,9,0,10.7890417827,10.7891299667,10.8092285466,10.8093219609,10.8093219609,-8.8184018864e-05,-0.020186763898,-0.0202801782053,baseline,0
131152,630,5042,114688,6,0,14.2740734703,14.270558592,14.2683666452,14.2648585115,14.2648585115,0.00351487824832,0.00570682505258,0.00921495881744,mini_donor,0.00921495881744
131816,801,6414,114688,1,0,250.264324352,250.265472839,250.288462019,250.289596654,250.289596654,-0.00114848689827,-0.0241376672884,-0.0252723019912,baseline,0
132640,442,3536,114688,9,0,9.96595289654,9.96575875014,10.0114185184,10.0112026674,10.0112026674,0.000194146402237,-0.0454656218744,-0.0452497709032,mini_cmix,0.000194146402237
