recipient_region,recipient_offset,baseline_payload_bytes,selected_payload_bytes,gain_bytes,net_gain_bytes,donor_count,donors,candidate_count,exact_trials
95,99667131,259824,259824,0,0,0,-,8,8
96,100715632,263197,263197,0,0,0,-,8,8
97,101762496,251987,251987,0,0,0,-,8,8
98,102809583,264530,264530,0,0,0,-,8,8
99,103862041,251345,251345,0,0,0,-,110,110
100,104910507,259523,259523,0,0,0,-,94,94
101,105963052,272180,272180,0,0,0,-,110,110
102,107006226,274677,274677,0,0,0,-,110,110
103,108054113,261190,261190,0,0,0,-,111,111
104,109109158,252266,252266,0,0,0,-,110,110
105,110158158,264911,264911,0,0,0,-,110,110
106,111208082,246926,246926,0,0,0,-,110,110
107,112256143,252245,252245,0,0,0,-,110,110
108,113303579,256587,256587,0,0,0,-,111,111
109,114355709,249806,249806,0,0,0,-,110,110
110,115398305,256985,256985,0,0,0,-,110,110
111,116446163,248795,248795,0,0,0,-,111,111
112,117490417,272741,272741,0,0,0,-,110,110
113,118538560,270774,270774,0,0,0,-,110,110
114,119579954,273022,273022,0,0,0,-,110,110
115,120628164,239329,239329,0,0,0,-,111,111
116,121676009,261875,261875,0,0,0,-,110,110
117,122724346,254293,254293,0,0,0,-,110,110
118,123764192,211733,211733,0,0,0,-,110,110
119,124811593,225762,225762,0,0,0,-,110,110
120,125859662,255270,255270,0,0,0,-,110,110
121,126906949,228297,228297,0,0,0,-,110,110
122,127956076,247288,247288,0,0,0,-,110,110
123,129000537,253764,253764,0,0,0,-,110,110
124,130043474,259602,259602,0,0,0,-,110,110
125,131096039,270958,270958,0,0,0,-,110,110
126,132143389,246709,246709,0,0,0,-,110,110
127,133196198,247976,247976,0,0,0,-,110,110
128,134244257,242566,242566,0,0,0,-,110,110
129,135298059,231967,231967,0,0,0,-,110,110
130,136352001,261550,261550,0,0,0,-,111,111
131,137402288,254258,254258,0,0,0,-,110,110
132,138449376,244252,244252,0,0,0,-,110,110
133,139489128,257235,257235,0,0,0,-,110,110
134,140539767,260181,260181,0,0,0,-,110,110
135,141588001,257079,257079,0,0,0,-,110,110
136,142635942,258044,258044,0,0,0,-,110,110
137,143684625,241143,241143,0,0,0,-,111,111
138,144744469,239515,239515,0,0,0,-,111,111
139,145792326,244381,244381,0,0,0,-,110,110
140,146842039,250303,250303,0,0,0,-,110,110
141,147886989,262370,262370,0,0,0,-,110,110
142,148933922,252130,252130,0,0,0,-,110,110
143,149985050,245067,245067,0,0,0,-,110,110
144,151029951,189586,189586,0,0,0,-,111,111
145,152070567,246983,246983,0,0,0,-,110,110
146,153118709,247502,247502,0,0,0,-,110,110
147,154165650,243168,243168,0,0,0,-,110,110
148,155214816,237047,237047,0,0,0,-,110,110
149,156263394,224784,224784,0,0,0,-,111,111
150,157314043,192759,192759,0,0,0,-,111,111
151,158360441,200318,200318,0,0,0,-,111,111
152,159408987,183727,183727,0,0,0,-,110,110
153,160457190,194563,194563,0,0,0,-,111,111
154,161506633,192011,192011,0,0,0,-,110,110
155,162553906,196292,196292,0,0,0,-,111,111
156,163601184,165150,165150,0,0,0,-,111,111
157,164645993,210860,210860,0,0,0,-,110,110
158,165692357,226820,226820,0,0,0,-,110,110
159,166741011,202798,202798,0,0,0,-,110,110
160,167792650,225917,225917,0,0,0,-,111,111
161,168838837,244977,244977,0,0,0,-,110,110
162,169882712,241573,241573,0,0,0,-,110,110
163,170930787,257324,257324,0,0,0,-,110,110
164,171975646,231080,231080,0,0,0,-,110,110
165,173025176,265420,265420,0,0,0,-,110,110
166,174073824,243547,243547,0,0,0,-,110,110
167,175111296,237385,237385,0,0,0,-,110,110
168,176163948,249435,249435,0,0,0,-,110,110
169,177194672,242546,242546,0,0,0,-,111,111
170,178243750,247147,247147,0,0,0,-,111,111
171,179295928,203766,203766,0,0,0,-,110,110
172,180343252,230085,230085,0,0,0,-,110,110
173,181386073,242091,242091,0,0,0,-,110,110
174,182438310,202325,202325,0,0,0,-,111,111
175,183486730,238800,238800,0,0,0,-,111,111
176,184532789,248310,248310,0,0,0,-,110,110
177,185575336,238533,238533,0,0,0,-,111,111
178,186621099,255943,255943,0,0,0,-,111,111
179,187670326,221622,221622,0,0,0,-,111,111
180,188710030,246342,246342,0,0,0,-,111,111
181,189758380,245466,245466,0,0,0,-,111,111
182,190806814,275420,275420,0,0,0,-,110,110
183,191852700,220294,220294,0,0,0,-,110,110
184,192900101,227979,227979,0,0,0,-,110,110
185,193947734,256245,256245,0,0,0,-,110,110
186,194999546,224907,224907,0,0,0,-,110,110
187,196050495,274307,274307,0,0,0,-,110,110
188,197095732,277983,277983,0,0,0,-,111,111
189,198147847,275100,275100,0,0,0,-,110,110
190,199197219,283704,283704,0,0,0,-,110,110
191,200245613,273037,273037,0,0,0,-,110,110
192,201293852,274878,274878,0,0,0,-,110,110
193,202341339,274876,274876,0,0,0,-,111,111
194,203389689,278323,278323,0,0,0,-,110,110
195,204438665,258827,258827,0,0,0,-,110,110
196,205486793,271642,271642,0,0,0,-,110,110
197,206528155,284998,284998,0,0,0,-,110,110
198,207577877,279287,279287,0,0,0,-,111,111
199,208625786,253420,253420,0,0,0,-,110,110
200,209675726,278393,278393,0,0,0,-,110,110
201,210723012,277050,277050,0,0,0,-,110,110
202,211774324,278180,278180,0,0,0,-,110,110
203,212823813,276904,276904,0,0,0,-,110,110
204,213871707,259736,259736,0,0,0,-,110,110
205,214920002,251699,251699,0,0,0,-,110,110
206,215970965,251074,251074,0,0,0,-,110,110
207,217015871,271180,271180,0,0,0,-,110,110
208,218063298,266524,266524,0,0,0,-,110,110
209,219110557,255674,255674,0,0,0,-,110,110
210,220156614,223556,223556,0,0,0,-,110,110
211,221201293,250685,250685,0,0,0,-,110,110
212,222249292,234631,234631,0,0,0,-,111,111
213,223297502,248929,248929,0,0,0,-,110,110
214,224346187,244043,244043,0,0,0,-,110,110
215,225393301,280238,280238,0,0,0,-,110,110
216,226442019,260090,260090,0,0,0,-,110,110
217,227488419,239313,239313,0,0,0,-,91,91
