recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
34,35682590,1052933,baseline,0,0,0,10,0,-,0,0,232385,232385,0,0,0,8,8,baseline
35,36735523,1050153,baseline,0,0,0,10,0,-,0,0,235899,235899,0,0,0,8,8,baseline
36,37785676,1053728,baseline,0,0,0,10,0,-,0,0,264565,264565,0,0,0,8,8,baseline
37,38839404,1047692,baseline,0,0,0,10,0,-,0,0,252289,252289,0,0,0,8,8,baseline
38,39887096,1050095,baseline,0,0,0,10,0,-,0,0,211572,211572,0,0,0,8,8,baseline
39,40937191,1049210,baseline,0,0,0,10,0,-,0,0,237977,237977,0,0,0,8,8,baseline
40,41986401,1048172,baseline,0,0,0,10,0,-,0,0,245177,245177,0,0,0,8,8,baseline
41,43034573,1047746,baseline,0,0,0,10,0,-,0,0,218896,218896,0,0,0,8,8,baseline
42,44082319,1047797,baseline,0,0,0,10,0,-,0,0,178889,178889,0,0,0,8,8,baseline
43,45130116,1046219,baseline,0,0,0,10,0,-,0,0,219179,219179,0,0,0,8,8,baseline
44,46176335,1051863,baseline,0,0,0,10,0,-,0,0,250012,250012,0,0,0,8,8,baseline
45,47228198,1048609,baseline,0,0,0,10,0,-,0,0,271667,271667,0,0,0,8,8,baseline
46,48276807,1049791,baseline,0,0,0,10,0,-,0,0,277392,277392,0,0,0,8,8,baseline
47,49326598,1048518,baseline,0,0,0,10,0,-,0,0,265659,265659,0,0,0,8,8,baseline
48,50375116,1054429,baseline,0,0,0,10,0,-,0,0,282886,282886,0,0,0,8,8,baseline
49,51429545,1048619,baseline,0,0,0,10,0,-,0,0,263426,263426,0,0,0,8,8,baseline
50,52478164,1048664,baseline,0,0,0,10,0,-,0,0,246769,246769,0,0,0,8,8,baseline
51,53526828,1047831,baseline,0,0,0,10,0,-,0,0,283095,283095,0,0,0,8,8,baseline
52,54574659,1048408,baseline,0,0,0,10,0,-,0,0,267663,267663,0,0,0,8,8,baseline
53,55623067,1050822,baseline,0,0,0,10,0,-,0,0,233735,233735,0,0,0,8,8,baseline
54,56673889,1049159,baseline,0,0,0,10,0,-,0,0,267396,267396,0,0,0,8,8,baseline
55,57723048,1049196,baseline,0,0,0,10,0,-,0,0,265633,265633,0,0,0,8,8,baseline
56,58772244,1044753,baseline,0,0,0,10,0,-,0,0,252710,252710,0,0,0,8,8,baseline
57,59816997,1047586,baseline,0,0,0,10,0,-,0,0,262436,262436,0,0,0,8,8,baseline
58,60864583,1045525,baseline,0,0,0,10,0,-,0,0,278646,278646,0,0,0,8,8,baseline
59,61910108,1051779,baseline,0,0,0,10,0,-,0,0,261519,261519,0,0,0,8,8,baseline
60,62961887,1052056,baseline,0,0,0,10,0,-,0,0,243390,243390,0,0,0,8,8,baseline
61,64013943,1049996,baseline,0,0,0,10,0,-,0,0,280501,280501,0,0,0,8,8,baseline
62,65063939,1049331,baseline,0,0,0,10,0,-,0,0,205050,205050,0,0,0,8,8,baseline
63,66113270,1048925,baseline,0,0,0,10,0,-,0,0,251822,251822,0,0,0,8,8,baseline
64,67162195,1048801,baseline,0,0,0,10,0,-,0,0,261718,261718,0,0,0,8,8,baseline
65,68210996,1049294,baseline,0,0,0,10,0,-,0,0,223543,223543,0,0,0,8,8,baseline
66,69260290,1048631,baseline,0,0,0,10,0,-,0,0,200507,200507,0,0,0,8,8,baseline
67,70308921,1050169,baseline,0,0,0,10,0,-,0,0,272064,272064,0,0,0,8,8,baseline
68,71359090,1054090,baseline,0,0,0,10,0,-,0,0,257553,257553,0,0,0,8,8,baseline
69,72413180,1048830,baseline,0,0,0,10,0,-,0,0,254791,254791,0,0,0,8,8,baseline
70,73462010,1043106,baseline,0,0,0,10,0,-,0,0,255713,255713,0,0,0,8,8,baseline
71,74505116,1045745,baseline,0,0,0,10,0,-,0,0,281915,281915,0,0,0,8,8,baseline
72,75550861,1049284,baseline,0,0,0,10,0,-,0,0,272827,272827,0,0,0,8,8,baseline
73,76600145,1049404,baseline,0,0,0,10,0,-,0,0,263613,263613,0,0,0,8,8,baseline
74,77649549,1049401,baseline,0,0,0,10,0,-,0,0,269741,269741,0,0,0,8,8,baseline
75,78698950,1050159,baseline,0,0,0,10,0,-,0,0,240669,240669,0,0,0,8,8,baseline
76,79749109,1047971,baseline,0,0,0,10,0,-,0,0,254380,254380,0,0,0,8,8,baseline
77,80797080,1048978,baseline,0,0,0,10,0,-,0,0,240509,240509,0,0,0,8,8,baseline
78,81846058,1049627,baseline,0,0,0,10,0,-,0,0,227177,227177,0,0,0,8,8,baseline
79,82895685,1048835,baseline,0,0,0,10,0,-,0,0,189314,189314,0,0,0,8,8,baseline
80,83944520,1045011,baseline,0,0,0,10,0,-,0,0,244596,244596,0,0,0,8,8,baseline
81,84989531,1048734,baseline,0,0,0,10,0,-,0,0,259768,259768,0,0,0,8,8,baseline
82,86038265,1049376,baseline,0,0,0,10,0,-,0,0,244052,244052,0,0,0,8,8,baseline
83,87087641,1048959,baseline,0,0,0,10,0,-,0,0,240462,240462,0,0,0,8,8,baseline
84,88136600,1048261,baseline,0,0,0,10,0,-,0,0,189821,189821,0,0,0,8,8,baseline
85,89184861,1050339,baseline,0,0,0,10,0,-,0,0,196765,196765,0,0,0,8,8,baseline
