recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
44,46176335,3,46454863,1316
44,46176335,4,46585935,1304
44,46176335,5,46876751,1290
44,46176335,6,46590031,1286
44,46176335,7,46622799,1275
45,47228198,0,47342886,1331
45,47228198,1,47445286,1330
45,47228198,2,47600934,1320
45,47228198,3,47596838,1299
45,47228198,4,47621414,1287
45,47228198,5,47658278,1267
45,47228198,6,48096550,1267
45,47228198,7,48104742,1267
46,48276807,0,48682311,1404
46,48276807,1,48485703,1357
46,48276807,2,48883015,1354
46,48276807,3,48702791,1327
46,48276807,4,48649543,1317
46,48276807,5,48653639,1309
46,48276807,6,48960839,1287
46,48276807,7,48555335,1282
47,49326598,0,50285062,1301
47,49326598,1,49695238,1290
47,49326598,2,49379846,1287
47,49326598,3,49818118,1277
47,49326598,4,49814022,1266
47,49326598,5,49764870,1258
47,49326598,6,49437190,1257
47,49326598,7,49801734,1256
48,50375116,0,51104204,1446
48,50375116,1,51255756,1402
48,50375116,2,51108300,1359
48,50375116,3,51169740,1358
48,50375116,4,51354060,1358
48,50375116,5,50899404,1350
48,50375116,6,51120588,1333
48,50375116,7,51042764,1332
49,51429545,0,51515561,1380
49,51429545,1,52441257,1328
49,51429545,2,51601577,1327
49,51429545,3,51474601,1322
49,51429545,4,51458217,1313
49,51429545,5,51597481,1305
49,51429545,6,51552425,1299
49,51429545,7,51540137,1289
50,52478164,0,53506260,1522
50,52478164,1,53276884,1380
50,52478164,2,52814036,1370
50,52478164,3,53510356,1333
50,52478164,4,53145812,1332
50,52478164,5,52732116,1312
50,52478164,6,53178580,1292
50,52478164,7,53301460,1277
51,53526828,0,54362412,1342
51,53526828,1,54255916,1336
51,53526828,2,53686572,1328
51,53526828,3,53813548,1325
51,53526828,4,54313260,1321
51,53526828,5,54247724,1320
51,53526828,6,54268204,1320
51,53526828,7,54481196,1313
52,54574659,0,54652483,1415
52,54574659,1,54726211,1350
52,54574659,2,54713923,1346
52,54574659,3,54808131,1281
52,54574659,4,55524931,1261
52,54574659,5,55152195,1260
52,54574659,6,54595139,1252
52,54574659,7,54980163,1246
53,55623067,0,56614299,1302
53,55623067,1,55827867,1291
53,55623067,2,55786907,1288
53,55623067,3,56421787,1287
53,55623067,4,56458651,1260
53,55623067,5,56454555,1257
53,55623067,6,55696795,1239
53,55623067,7,55897499,1237
54,56673889,0,57632353,1337
54,56673889,1,57562721,1317
54,56673889,2,57673313,1300
54,56673889,3,57452129,1296
54,56673889,4,56829537,1284
54,56673889,5,57456225,1280
54,56673889,6,57448033,1271
54,56673889,7,57108065,1267
55,57723048,0,58185896,1392
55,57723048,1,57866408,1351
55,57723048,2,58177704,1304
55,57723048,3,58681512,1298
55,57723048,4,58415272,1296
55,57723048,5,57923752,1285
55,57723048,6,58304680,1270
55,57723048,7,58484904,1256
56,58772244,0,59046676,1402
56,58772244,1,59165460,1371
56,58772244,2,59767572,1369
56,58772244,3,59161364,1366
56,58772244,4,59050772,1344
56,58772244,5,59771668,1312
56,58772244,6,59276052,1289
56,58772244,7,59181844,1280
57,59816997,0,60771365,1373
57,59816997,1,60787749,1365
57,59816997,2,60537893,1357
57,59816997,3,60230693,1353
57,59816997,4,60546085,1319
57,59816997,5,60582949,1310
57,59816997,6,60132389,1290
57,59816997,7,59821093,1286
58,60864583,0,61241415,1384
58,60864583,1,61732935,1361
58,60864583,2,61487175,1356
58,60864583,3,61323335,1355
58,60864583,4,61040711,1343
58,60864583,5,61433927,1341
58,60864583,6,60958791,1338
58,60864583,7,60926023,1331
59,61910108,0,62135388,1332
59,61910108,1,62409820,1255
59,61910108,2,62188636,1252
59,61910108,3,62413916,1250
59,61910108,4,61942876,1240
59,61910108,5,62205020,1236
59,61910108,6,61922396,1224
59,61910108,7,61955164,1223
60,62961887,0,63789279,1346
60,62961887,1,63695071,1284
60,62961887,2,64006367,1276
60,62961887,3,63281375,1268
60,62961887,4,63961311,1246
60,62961887,5,63817951,1242
60,62961887,6,63527135,1239
60,62961887,7,63785183,1230
61,64013943,0,64472695,1370
61,64013943,1,64398967,1352
61,64013943,2,64304759,1343
61,64013943,3,64673399,1343
61,64013943,4,64026231,1329
61,64013943,5,64345719,1306
61,64013943,6,64394871,1305
61,64013943,7,64620151,1304
62,65063939,0,65068035,1235
62,65063939,1,65117187,1219
62,65063939,2,65436675,1212
62,65063939,3,65498115,1197
62,65063939,4,65760259,1192
62,65063939,5,65788931,1183
62,65063939,6,65080323,1176
62,65063939,7,65137667,1169
63,66113270,0,66965238,1296
63,66113270,1,67047158,1296
63,66113270,2,67137270,1264
63,66113270,3,66952950,1248
63,66113270,4,66821878,1244
63,66113270,5,67071734,1243
63,66113270,6,66412278,1242
63,66113270,7,67120886,1239
64,67162195,0,67268691,1361
64,67162195,1,67506259,1343
64,67162195,2,67313747,1327
64,67162195,3,68104275,1312
64,67162195,4,67477587,1309
64,67162195,5,67666003,1305
