offset,length,experts,stream_class,profile,residual_gain,pack_id,status
20660,146,oracle+donor_profile,xml,0,0.25,182715,oracle_only
20809,140,oracle+donor_profile,xml,0,0.25,182716,oracle_only
20952,115,oracle+donor_profile,xml,0,0.25,182717,oracle_only
21070,126,oracle+donor_profile,xml,0,0.25,182718,oracle_only
21199,128,oracle+donor_profile,xml,0,0.25,182719,oracle_only
21330,119,oracle+donor_profile,xml,0,0.25,182720,oracle_only
21452,109,oracle+donor_profile,xml,0,0.25,182721,oracle_only
21564,129,oracle+donor_profile,xml,0,0.25,182722,oracle_only
21696,116,oracle+donor_profile,xml,0,0.25,182723,oracle_only
21815,137,oracle+donor_profile,xml,0,0.25,182724,oracle_only
21955,137,oracle+donor_profile,xml,0,0.25,182725,oracle_only
22095,141,oracle+donor_profile,xml,0,0.25,182726,oracle_only
22239,112,oracle+donor_profile,xml,0,0.25,182727,oracle_only
22354,114,oracle+donor_profile,xml,0,0.25,182728,oracle_only
22471,111,oracle+donor_profile,xml,0,0.25,182729,oracle_only
22585,91,oracle+donor_profile,xml,0,0.25,182730,oracle_only
22679,145,oracle+donor_profile,xml,0,0.25,182731,oracle_only
22827,110,oracle+donor_profile,xml,0,0.25,182732,oracle_only
22940,112,oracle+donor_profile,xml,0,0.25,182733,oracle_only
23055,120,oracle+donor_profile,xml,0,0.25,182734,oracle_only
23178,113,oracle+donor_profile,xml,0,0.25,182735,oracle_only
23294,136,oracle+donor_profile,xml,0,0.25,182736,oracle_only
23433,156,oracle+donor_profile,xml,0,0.25,182737,oracle_only
23592,115,oracle+donor_profile,xml,0,0.25,182738,oracle_only
23710,121,oracle+donor_profile,xml,0,0.25,182739,oracle_only
23834,126,oracle+donor_profile,xml,0,0.25,182740,oracle_only
23963,130,oracle+donor_profile,xml,0,0.25,182741,oracle_only
24096,108,oracle+donor_profile,xml,0,0.25,182742,oracle_only
24207,131,oracle+donor_profile,xml,0,0.25,182743,oracle_only
24341,113,oracle+donor_profile,xml,0,0.25,182744,oracle_only
24457,95,oracle+donor_profile,xml,0,0.25,182745,oracle_only
