pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits
22,5715703,258943,3,5517312,4096,8,8
22,5715703,258943,4,5296128,4096,7,7
22,5715703,258943,5,24576,4096,6,6
22,5715703,258943,6,40960,4096,6,6
22,5715703,258943,7,4800512,4096,6,6
22,5715703,258943,8,4861952,4096,6,6
22,5715703,258943,9,5357568,4096,6,6
22,5715703,258943,10,5529600,4096,6,6
22,5715703,258943,11,5677056,4096,6,6
23,5974649,260180,0,5943296,4096,20,20
23,5974649,260180,1,5951488,4096,18,18
23,5974649,260180,2,5955584,4096,18,18
23,5974649,260180,3,5926912,4096,13,13
23,5974649,260180,4,5914624,4096,7,7
23,5974649,260180,5,5922816,4096,3,3
23,5974649,260180,6,53248,4096,2,2
23,5974649,260180,7,143360,4096,2,2
23,5974649,260180,8,5488640,4096,2,2
23,5974649,260180,9,5808128,4096,2,2
23,5974649,260180,10,5812224,4096,2,2
23,5974649,260180,11,5824512,4096,2,2
24,6234832,260877,0,6127616,4096,67,67
24,6234832,260877,1,6017024,4096,63,63
24,6234832,260877,2,6021120,4096,54,54
24,6234832,260877,3,6172672,4096,51,51
24,6234832,260877,4,6189056,4096,50,50
24,6234832,260877,5,6115328,4096,47,47
24,6234832,260877,6,6176768,4096,47,47
24,6234832,260877,7,6184960,4096,42,42
24,6234832,260877,8,6111232,4096,36,36
24,6234832,260877,9,6123520,4096,32,32
24,6234832,260877,10,6053888,4096,30,30
24,6234832,260877,11,6103040,4096,28,28
25,6495712,261622,0,6488064,4096,12,12
25,6495712,261622,1,6021120,4096,11,11
25,6495712,261622,2,6381568,4096,11,11
25,6495712,261622,3,6483968,4096,11,11
25,6495712,261622,4,6017024,4096,10,10
25,6495712,261622,5,6389760,4096,6,6
25,6495712,261622,6,6393856,4096,6,6
25,6495712,261622,7,6369280,4096,5,5
25,6495712,261622,8,6361088,4096,4,4
25,6495712,261622,9,6397952,4096,4,4
25,6495712,261622,10,6402048,4096,4,4
25,6495712,261622,11,6414336,4096,4,4
26,6757337,249943,0,24576,4096,2,2
26,6757337,249943,1,40960,4096,2,2
26,6757337,249943,2,90112,4096,2,2
26,6757337,249943,3,98304,4096,2,2
26,6757337,249943,4,5427200,4096,2,2
26,6757337,249943,5,5738496,4096,2,2
26,6757337,249943,6,5771264,4096,2,2
26,6757337,249943,7,5849088,4096,2,2
26,6757337,249943,8,5865472,4096,2,2
26,6757337,249943,9,5869568,4096,2,2
26,6757337,249943,10,6045696,4096,2,2
26,6757337,249943,11,6164480,4096,2,2
27,7007283,257876,0,53248,4096,2,2
27,7007283,257876,1,143360,4096,2,2
27,7007283,257876,2,5488640,4096,2,2
27,7007283,257876,3,5808128,4096,2,2
27,7007283,257876,4,5812224,4096,2,2
27,7007283,257876,5,5824512,4096,2,2
27,7007283,257876,6,5853184,4096,2,2
27,7007283,257876,7,5873664,4096,2,2
27,7007283,257876,8,90112,4096,1,1
27,7007283,257876,9,98304,4096,1,1
27,7007283,257876,10,4321280,4096,1,1
27,7007283,257876,11,4354048,4096,1,1
28,7265162,251205,0,24576,4096,1,1
28,7265162,251205,1,32768,4096,1,1
28,7265162,251205,2,40960,4096,1,1
28,7265162,251205,3,53248,4096,1,1
28,7265162,251205,4,143360,4096,1,1
28,7265162,251205,5,196608,4096,1,1
28,7265162,251205,6,5488640,4096,1,1
28,7265162,251205,7,5808128,4096,1,1
28,7265162,251205,8,5812224,4096,1,1
28,7265162,251205,9,5824512,4096,1,1
28,7265162,251205,10,5836800,4096,1,1
28,7265162,251205,11,5849088,4096,1,1
29,7516370,258321,0,3108864,4096,2,2
29,7516370,258321,1,53248,4096,1,1
29,7516370,258321,2,90112,4096,1,1
29,7516370,258321,3,98304,4096,1,1
29,7516370,258321,4,143360,4096,1,1
29,7516370,258321,5,2428928,4096,1,1
29,7516370,258321,6,4403200,4096,1,1
29,7516370,258321,7,5386240,4096,1,1
29,7516370,258321,8,5443584,4096,1,1
29,7516370,258321,9,5730304,4096,1,1
29,7516370,258321,10,5771264,4096,1,1
29,7516370,258321,11,5808128,4096,1,1
30,7774694,260755,0,53248,4096,2,2
30,7774694,260755,1,98304,4096,2,2
30,7774694,260755,2,143360,4096,2,2
30,7774694,260755,3,2428928,4096,2,2
30,7774694,260755,4,3108864,4096,2,2
30,7774694,260755,5,5386240,4096,2,2
30,7774694,260755,6,5443584,4096,2,2
30,7774694,260755,7,5808128,4096,2,2
30,7774694,260755,8,5812224,4096,2,2
30,7774694,260755,9,5824512,4096,2,2
30,7774694,260755,10,5853184,4096,2,2
30,7774694,260755,11,5873664,4096,2,2
31,8035452,260977,0,7925760,4096,4,4
31,8035452,260977,1,53248,4096,3,3
31,8035452,260977,2,90112,4096,3,3
31,8035452,260977,3,98304,4096,3,3
31,8035452,260977,4,143360,4096,3,3
31,8035452,260977,5,5812224,4096,3,3
31,8035452,260977,6,5824512,4096,3,3
31,8035452,260977,7,5853184,4096,3,3
31,8035452,260977,8,5873664,4096,3,3
31,8035452,260977,9,6045696,4096,3,3
31,8035452,260977,10,6668288,4096,3,3
31,8035452,260977,11,6844416,4096,3,3
