region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
141,19,19,0,0,0,19,0,0.0000,REJECTED_SAVED
142,168,168,0,0,0,168,0,0.0000,REJECTED_SAVED
143,136,136,0,0,0,136,0,0.0000,REJECTED_SAVED
144,100,100,0,0,0,100,0,0.0000,REJECTED_SAVED
145,75,75,0,0,0,75,0,0.0000,REJECTED_SAVED
146,52,52,0,0,0,52,0,0.0000,REJECTED_SAVED
147,63,63,0,0,0,63,0,0.0000,REJECTED_SAVED
148,30,30,0,0,0,30,0,0.0000,REJECTED_SAVED
149,81,81,0,0,0,81,0,0.0000,REJECTED_SAVED
150,42,42,0,0,0,42,0,0.0000,REJECTED_SAVED
151,46,46,0,0,0,46,0,0.0000,REJECTED_SAVED
152,67,67,0,0,0,67,0,0.0000,REJECTED_SAVED
153,55,55,0,0,0,55,0,0.0000,REJECTED_SAVED
154,52,52,0,0,0,52,0,0.0000,REJECTED_SAVED
155,50,50,0,0,0,50,0,0.0000,REJECTED_SAVED
156,42,42,0,0,0,42,0,0.0000,REJECTED_SAVED
157,62,62,0,0,0,62,0,0.0000,REJECTED_SAVED
158,51,51,0,0,0,51,0,0.0000,REJECTED_SAVED
159,76,76,0,0,0,76,0,0.0000,REJECTED_SAVED
160,66,66,0,0,0,66,0,0.0000,REJECTED_SAVED
161,58,58,0,0,0,58,0,0.0000,REJECTED_SAVED
162,120,120,0,0,0,120,0,0.0000,REJECTED_SAVED
163,56,56,0,0,0,56,0,0.0000,REJECTED_SAVED
164,51,51,0,0,0,51,0,0.0000,REJECTED_SAVED
165,151,151,0,0,0,151,0,0.0000,REJECTED_SAVED
166,35,35,0,0,0,35,0,0.0000,REJECTED_SAVED
167,78,78,0,0,0,78,0,0.0000,REJECTED_SAVED
168,66,66,0,0,0,66,0,0.0000,REJECTED_SAVED
169,122,122,0,0,0,122,0,0.0000,REJECTED_SAVED
170,137,137,0,0,0,137,0,0.0000,REJECTED_SAVED
171,114,114,0,0,0,114,0,0.0000,REJECTED_SAVED
172,30,30,0,0,0,30,0,0.0000,REJECTED_SAVED
