recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
65,42166,5,33792,4096,0,recent_fallback
66,42862,0,14848,256,2,phrase_token
66,42862,1,9984,256,1,phrase_token
66,42862,2,9984,4096,0,recent_fallback
66,42862,3,18176,4096,0,recent_fallback
66,42862,4,26368,4096,0,recent_fallback
66,42862,5,34560,4096,0,recent_fallback
67,43593,0,6656,256,1,phrase_token
67,43593,1,13056,256,1,phrase_token
67,43593,2,10752,4096,0,recent_fallback
67,43593,3,18944,4096,0,recent_fallback
67,43593,4,27136,4096,0,recent_fallback
67,43593,5,35328,4096,0,recent_fallback
67,43593,0,6656,256,1,phrase_token
67,43593,1,13056,256,1,phrase_token
67,43593,2,10752,4096,0,recent_fallback
67,43593,3,18944,4096,0,recent_fallback
67,43593,4,27136,4096,0,recent_fallback
67,43593,5,35328,4096,0,recent_fallback
68,44338,0,11520,4096,0,recent_fallback
68,44338,1,19712,4096,0,recent_fallback
68,44338,2,27904,4096,0,recent_fallback
68,44338,3,36096,4096,0,recent_fallback
69,45197,0,11776,256,2,phrase_token
69,45197,1,11776,1024,2,phrase_token
69,45197,2,4096,4096,0,recent_fallback
69,45197,3,12288,4096,0,recent_fallback
69,45197,4,20480,4096,0,recent_fallback
69,45197,5,28672,4096,0,recent_fallback
69,45197,6,36864,4096,0,recent_fallback
69,45197,0,11776,256,2,phrase_token
69,45197,1,11776,1024,2,phrase_token
69,45197,2,4096,4096,0,recent_fallback
69,45197,3,12288,4096,0,recent_fallback
69,45197,4,20480,4096,0,recent_fallback
69,45197,5,28672,4096,0,recent_fallback
69,45197,6,36864,4096,0,recent_fallback
70,45914,0,5120,256,2,phrase_token
70,45914,1,39680,256,1,phrase_token
70,45914,2,4864,4096,0,recent_fallback
70,45914,3,13056,4096,0,recent_fallback
70,45914,4,21248,4096,0,recent_fallback
70,45914,5,29440,4096,0,recent_fallback
70,45914,6,37632,4096,0,recent_fallback
70,45914,0,5120,256,2,phrase_token
70,45914,1,39680,256,1,phrase_token
70,45914,2,4864,4096,0,recent_fallback
70,45914,3,13056,4096,0,recent_fallback
70,45914,4,21248,4096,0,recent_fallback
70,45914,5,29440,4096,0,recent_fallback
70,45914,6,37632,4096,0,recent_fallback
71,46703,0,9216,256,3,phrase_token
71,46703,1,5120,256,2,phrase_token
71,46703,2,39680,256,1,phrase_token
71,46703,3,13824,4096,0,recent_fallback
71,46703,4,22016,4096,0,recent_fallback
71,46703,5,30208,4096,0,recent_fallback
71,46703,6,38400,4096,0,recent_fallback
72,47859,0,11776,256,2,phrase_token
72,47859,1,11776,1024,2,phrase_token
72,47859,2,6656,4096,0,recent_fallback
72,47859,3,14848,4096,0,recent_fallback
72,47859,4,23040,4096,0,recent_fallback
72,47859,5,31232,4096,0,recent_fallback
72,47859,6,39424,4096,0,recent_fallback
72,47859,0,11776,256,2,phrase_token
72,47859,1,11776,1024,2,phrase_token
72,47859,2,6656,4096,0,recent_fallback
72,47859,3,14848,4096,0,recent_fallback
72,47859,4,23040,4096,0,recent_fallback
72,47859,5,31232,4096,0,recent_fallback
72,47859,6,39424,4096,0,recent_fallback
73,48360,0,7168,4096,0,recent_fallback
73,48360,1,15360,4096,0,recent_fallback
73,48360,2,23552,4096,0,recent_fallback
73,48360,3,31744,4096,0,recent_fallback
73,48360,4,39936,4096,0,recent_fallback
74,49083,0,11776,256,2,phrase_token
74,49083,1,11776,1024,2,phrase_token
74,49083,2,7936,4096,0,recent_fallback
74,49083,3,16128,4096,0,recent_fallback
74,49083,4,24320,4096,0,recent_fallback
74,49083,5,32512,4096,0,recent_fallback
74,49083,6,40704,4096,0,recent_fallback
74,49083,0,11776,256,2,phrase_token
74,49083,1,11776,1024,2,phrase_token
74,49083,2,7936,4096,0,recent_fallback
74,49083,3,16128,4096,0,recent_fallback
74,49083,4,24320,4096,0,recent_fallback
74,49083,5,32512,4096,0,recent_fallback
74,49083,6,40704,4096,0,recent_fallback
75,49980,0,7936,256,2,phrase_token
75,49980,1,13568,256,2,phrase_token
75,49980,2,29952,256,1,phrase_token
75,49980,3,17152,4096,0,recent_fallback
75,49980,4,25344,4096,0,recent_fallback
75,49980,5,33536,4096,0,recent_fallback
75,49980,6,41728,4096,0,recent_fallback
75,49980,0,7936,256,2,phrase_token
75,49980,1,13568,256,2,phrase_token
75,49980,2,29952,256,1,phrase_token
75,49980,3,17152,4096,0,recent_fallback
75,49980,4,25344,4096,0,recent_fallback
75,49980,5,33536,4096,0,recent_fallback
75,49980,6,41728,4096,0,recent_fallback
76,50739,0,9728,4096,0,recent_fallback
76,50739,1,17920,4096,0,recent_fallback
76,50739,2,26112,4096,0,recent_fallback
76,50739,3,34304,4096,0,recent_fallback
76,50739,4,42496,4096,0,recent_fallback
77,51244,0,13824,256,6,phrase_token
77,51244,1,30464,256,6,phrase_token
77,51244,2,2304,256,3,phrase_token
77,51244,3,47872,256,2,phrase_token
77,51244,4,16128,256,1,phrase_token
77,51244,5,34816,4096,0,recent_fallback
77,51244,6,43008,4096,0,recent_fallback
77,51244,0,13824,256,6,phrase_token
77,51244,1,30464,256,6,phrase_token
77,51244,2,2304,256,3,phrase_token
77,51244,3,47872,256,2,phrase_token
77,51244,4,16128,256,1,phrase_token
77,51244,5,34816,4096,0,recent_fallback
77,51244,6,43008,4096,0,recent_fallback
78,52278,0,11776,256,2,phrase_token
78,52278,1,11776,1024,2,phrase_token
78,52278,2,11264,4096,0,recent_fallback
78,52278,3,19456,4096,0,recent_fallback
78,52278,4,27648,4096,0,recent_fallback
78,52278,5,35840,4096,0,recent_fallback
78,52278,6,44032,4096,0,recent_fallback
79,53212,0,4352,256,7,phrase_token
79,53212,1,15616,256,3,phrase_token
79,53212,2,34816,256,3,phrase_token
79,53212,3,20224,4096,0,recent_fallback
79,53212,4,28416,4096,0,recent_fallback
79,53212,5,36608,4096,0,recent_fallback
79,53212,6,44800,4096,0,recent_fallback
79,53212,0,4352,256,7,phrase_token
79,53212,1,15616,256,3,phrase_token
79,53212,2,34816,256,3,phrase_token
79,53212,3,20224,4096,0,recent_fallback
79,53212,4,28416,4096,0,recent_fallback
79,53212,5,36608,4096,0,recent_fallback
79,53212,6,44800,4096,0,recent_fallback
80,54253,0,4864,4096,0,recent_fallback
80,54253,1,13056,4096,0,recent_fallback
80,54253,2,21248,4096,0,recent_fallback
80,54253,3,29440,4096,0,recent_fallback
80,54253,4,37632,4096,0,recent_fallback
80,54253,5,45824,4096,0,recent_fallback
80,54253,0,4864,4096,0,recent_fallback
80,54253,1,13056,4096,0,recent_fallback
80,54253,2,21248,4096,0,recent_fallback
80,54253,3,29440,4096,0,recent_fallback
80,54253,4,37632,4096,0,recent_fallback
80,54253,5,45824,4096,0,recent_fallback
81,55002,0,30464,256,3,phrase_token
81,55002,1,5632,4096,0,recent_fallback
81,55002,2,13824,4096,0,recent_fallback
81,55002,3,22016,4096,0,recent_fallback
81,55002,4,30208,4096,0,recent_fallback
81,55002,5,38400,4096,0,recent_fallback
81,55002,6,46592,4096,0,recent_fallback
82,55840,0,47872,256,2,phrase_token
82,55840,1,16128,256,1,phrase_token
82,55840,2,14848,4096,0,recent_fallback
82,55840,3,23040,4096,0,recent_fallback
82,55840,4,31232,4096,0,recent_fallback
82,55840,5,39424,4096,0,recent_fallback
82,55840,6,47616,4096,0,recent_fallback
82,55840,0,47872,256,2,phrase_token
82,55840,1,16128,256,1,phrase_token
82,55840,2,14848,4096,0,recent_fallback
82,55840,3,23040,4096,0,recent_fallback
82,55840,4,31232,4096,0,recent_fallback
82,55840,5,39424,4096,0,recent_fallback
82,55840,6,47616,4096,0,recent_fallback
83,56706,0,47872,256,2,phrase_token
83,56706,1,16128,256,1,phrase_token
83,56706,2,15616,4096,0,recent_fallback
83,56706,3,23808,4096,0,recent_fallback
83,56706,4,32000,4096,0,recent_fallback
83,56706,5,40192,4096,0,recent_fallback
83,56706,6,48384,4096,0,recent_fallback
83,56706,0,47872,256,2,phrase_token
83,56706,1,16128,256,1,phrase_token
83,56706,2,15616,4096,0,recent_fallback
83,56706,3,23808,4096,0,recent_fallback
83,56706,4,32000,4096,0,recent_fallback
83,56706,5,40192,4096,0,recent_fallback
83,56706,6,48384,4096,0,recent_fallback
84,57397,0,47872,256,2,phrase_token
84,57397,1,16128,256,1,phrase_token
84,57397,2,16384,4096,0,recent_fallback
84,57397,3,24576,4096,0,recent_fallback
84,57397,4,32768,4096,0,recent_fallback
84,57397,5,40960,4096,0,recent_fallback
84,57397,6,49152,4096,0,recent_fallback
85,58053,0,17920,256,1,phrase_token
85,58053,1,46848,256,1,phrase_token
85,58053,2,55296,256,1,phrase_token
85,58053,3,25088,4096,0,recent_fallback
85,58053,4,33280,4096,0,recent_fallback
85,58053,5,41472,4096,0,recent_fallback
85,58053,6,49664,4096,0,recent_fallback
85,58053,0,17920,256,1,phrase_token
85,58053,1,46848,256,1,phrase_token
85,58053,2,55296,256,1,phrase_token
85,58053,3,25088,4096,0,recent_fallback
85,58053,4,33280,4096,0,recent_fallback
85,58053,5,41472,4096,0,recent_fallback
85,58053,6,49664,4096,0,recent_fallback
86,58707,0,9472,4096,0,recent_fallback
86,58707,1,17664,4096,0,recent_fallback
86,58707,2,25856,4096,0,recent_fallback
86,58707,3,34048,4096,0,recent_fallback
86,58707,4,42240,4096,0,recent_fallback
86,58707,5,50432,4096,0,recent_fallback
