offset,length,bits,mask,stream_class,profile_id,baseline_bytes,mini_bytes,donor_bytes,combined_bytes,selected_bytes,mini_gain_bytes,donor_gain_bytes,combined_gain_bytes,best_mode,best_gain_bytes
106163,479,3644,114688,9,0,11.0470399478,11.055721018,11.0524445292,11.0628857841,11.0628857841,-0.00868107027452,-0.00540458146133,-0.0158458363661,baseline,0
106645,469,3570,114688,9,0,10.1602372269,10.2406926531,10.1678073048,10.2497058125,10.2497058125,-0.080455426198,-0.00757007790526,-0.0894685856669,baseline,0
107117,490,3722,114688,9,0,11.4772068484,11.4710269875,11.4657156777,11.4605431099,11.4605431099,0.00617986090435,0.011491170625,0.0166637385095,mini_donor,0.0166637385095
107610,737,5614,114688,6,0,38.9006476472,38.660445209,38.883657446,38.6459257445,38.6459257445,0.240202438249,0.0169902011694,0.254721902681,mini_donor,0.254721902681
108350,474,3613,114688,9,0,10.8858973396,10.9674613042,10.9162323993,10.9999535625,10.9999535625,-0.081563964584,-0.0303350596296,-0.114056222849,baseline,0
108827,478,3644,114688,9,0,9.58199166785,9.70631456207,9.58398509507,9.70960773709,9.70960773709,-0.124322894225,-0.00199342722044,-0.127616069246,baseline,0
109308,829,6345,114688,6,0,47.2360583697,47.2003312913,47.2649371654,47.2333931078,47.2333931078,0.0357270783556,-0.0288787957488,0.00266526182759,mini_cmix,0.0357270783556
110140,431,3274,114688,9,0,13.9250293787,14.0594023046,13.9182312712,14.0542536442,14.0542536442,-0.134372925893,0.00679810748625,-0.129224265456,donor_profile,0.00679810748625
110574,448,3414,114688,9,0,19.8750871259,19.9408916804,19.8907878316,19.9573893431,19.9573893431,-0.0658045545017,-0.0157007057105,-0.0823022172283,baseline,0
111025,466,3550,114688,9,0,12.2107390668,12.315004969,12.1935203484,12.299690031,12.299690031,-0.104265902185,0.0172187184053,-0.0889509641479,donor_profile,0.0172187184053
111494,473,3606,114688,9,0,10.8501520833,10.9311077208,10.8240908392,10.9072757076,10.9072757076,-0.08095563749,0.0260612440698,-0.0571236243579,donor_profile,0.0260612440698
111970,632,4818,114688,9,0,53.7743576162,53.8412471913,53.7197157375,53.7908372778,53.7908372778,-0.0668895750417,0.0546418787781,-0.0164796615467,donor_profile,0.0546418787781
112605,443,3379,114688,9,0,28.0031108399,28.0885050139,28.0932928122,28.1807997441,28.1807997441,-0.0853941740285,-0.0901819722358,-0.177688904159,baseline,0
113051,472,3600,114688,9,0,11.2852647191,11.3948265486,11.3452263573,11.4553141096,11.4553141096,-0.109561829475,-0.0599616381951,-0.170049390495,baseline,0
113526,489,3741,114688,9,0,11.3155142964,11.3817361671,11.3555949833,11.4223598146,11.4223598146,-0.0662218707222,-0.0400806868593,-0.106845518129,baseline,0
114018,545,4165,114688,9,0,55.2936660536,55.2616163694,55.2716051294,55.2395100099,55.2395100099,0.0320496841971,0.0220609241505,0.0541560436643,mini_donor,0.0541560436643
114566,471,3598,114688,9,0,9.52303853915,9.60544892653,9.55874400913,9.64234486453,9.64234486453,-0.08241038738,-0.0357054699834,-0.119306325382,baseline,0
115040,738,5636,114688,6,0,40.2076174156,40.240737099,40.1822727389,40.21737966,40.21737966,-0.0331196833969,0.0253446767456,-0.00976224433009,donor_profile,0.0253446767456
115781,474,3616,114688,9,0,11.2190539858,11.2612801755,11.2272373282,11.2710261411,11.2710261411,-0.042226189636,-0.00818334238465,-0.0519721552369,baseline,0
116258,480,3656,114688,9,0,12.8898959088,12.940613514,12.8986659624,12.9510628076,12.9510628076,-0.0507176052124,-0.00877005362599,-0.0611668987794,baseline,0
116741,474,3613,114688,9,0,10.1462738561,10.2354683605,10.1666146836,10.2570552404,10.2570552404,-0.0891945043991,-0.0203408275174,-0.110781384263,baseline,0
117218,479,3649,114688,9,0,11.9656163288,11.9921489595,11.9791065245,12.0071329065,12.0071329065,-0.0265326307117,-0.0134901957035,-0.0415165777604,baseline,0
117700,467,3555,114688,9,0,10.5820117116,10.6621948852,10.5838592609,10.6653193892,10.6653193892,-0.0801831736305,-0.00184754928887,-0.0833076775996,baseline,0
118170,721,5506,114688,6,0,18.8043236993,18.9313979411,18.7791503089,18.9077719468,18.9077719468,-0.127074241841,0.0251733904397,-0.103448247551,donor_profile,0.0251733904397
118894,481,3661,114688,9,0,12.5098556436,12.496003893,12.5372790181,12.5245918549,12.5245918549,0.0138517506167,-0.0274233744667,-0.0147362113338,mini_cmix,0.0138517506167
119378,475,3615,114688,9,0,9.26554589242,9.3116049583,9.27528505944,9.32256165536,9.32256165536,-0.0460590658801,-0.00973916702515,-0.0570157629433,baseline,0
119856,639,4867,114688,1,0,20.6011431551,20.6597293887,20.5637559612,20.6239363083,20.6239363083,-0.058586233599,0.0373871938145,-0.0227931532406,donor_profile,0.0373871938145
120498,727,5540,114688,6,0,20.1152756403,20.2176103326,20.1109883944,20.2147269499,20.2147269499,-0.102334692272,0.00428724591075,-0.0994513095642,donor_profile,0.00428724591075
121228,519,3962,114688,9,0,27.2386873382,27.1658508203,27.226851073,27.156222821,27.156222821,0.0728365178949,0.0118362651847,0.0824645171316,mini_donor,0.0824645171316
121750,1013,7757,114688,6,0,93.2024910692,93.1159829039,93.2285565881,93.147535902,93.147535902,0.0865081653139,-0.026065518884,0.0549551672204,mini_cmix,0.0865081653139
122766,712,5426,114688,6,0,20.3616563733,20.5406449224,20.3659330656,20.5464649057,20.5464649057,-0.178988549042,-0.00427669229157,-0.184808532378,baseline,0
123481,481,3665,114688,9,0,10.7076145016,10.7836624429,10.7124467663,10.7900004289,10.7900004289,-0.076047941363,-0.00483226474898,-0.0823859272932,baseline,0
123965,850,6459,114688,9,0,66.5379733901,66.5760636584,66.5623128868,66.6052050779,66.6052050779,-0.0380902682755,-0.0243394967574,-0.0672316877963,baseline,0
124818,664,5080,114688,6,0,31.8269250382,31.8236978508,31.7553108486,31.7538364617,31.7538364617,0.00322718740256,0.0716141895718,0.0730885764834,mini_donor,0.0730885764834
125485,466,3555,114688,9,0,11.0618813921,11.2517663666,11.088254697,11.2806692309,11.2806692309,-0.189884974465,-0.0263733048423,-0.218787838766,baseline,0
125954,666,5081,114688,6,0,15.4191873183,15.623297589,15.4252244248,15.63056066,15.63056066,-0.204110270764,-0.00603710647829,-0.211373341722,baseline,0
126623,607,4635,114688,1,0,17.0924384328,17.1935262281,17.1004064751,17.2024888201,17.2024888201,-0.101087795382,-0.00796804237507,-0.110050387354,baseline,0
127233,470,3579,114688,9,0,10.9746594959,10.9525086632,10.9877491915,10.966995634,10.966995634,0.0221508327318,-0.0130896955425,0.0076638618807,mini_cmix,0.0221508327318
127706,642,4906,114688,6,0,16.2114490411,16.2996154603,16.1650628989,16.2540877372,16.2540877372,-0.0881664191747,0.0463861421758,-0.042638696078,donor_profile,0.0463861421758
128351,471,3583,114688,9,0,11.4879818083,11.4643890709,11.4623386344,11.4404849496,11.4404849496,0.0235927373757,0.0256431738771,0.0474968587129,mini_donor,0.0474968587129
128825,736,5630,114688,6,0,19.7483506992,19.7878039559,19.7438053441,19.7843608803,19.7843608803,-0.0394532567323,0.00454535508743,-0.0360101810472,donor_profile,0.00454535508743
129564,473,3605,114688,9,0,12.5050997517,12.5643997613,12.5184310234,12.5791837037,12.5791837037,-0.0593000096435,-0.0133312717717,-0.0740839520561,baseline,0
130040,632,4821,114688,1,0,17.7344650045,17.963233168,17.7524274172,17.9823484405,17.9823484405,-0.228768163531,-0.0179624127613,-0.247883436,baseline,0
130675,474,3608,114688,9,0,10.6984028619,10.698117987,10.7143942325,10.7153986,10.7153986,0.000284874849513,-0.015991370663,-0.0169957381408,mini_cmix,0.000284874849513
131152,661,5040,114688,6,0,14.4674254524,14.5765834929,14.4631409102,14.573091642,14.573091642,-0.109158040555,0.00428454217217,-0.1056661896,donor_profile,0.00428454217217
131816,821,6411,114688,1,0,250.49876233,250.223548746,250.526543058,250.259884558,250.259884558,0.275213583833,-0.0277807282573,0.238877772327,mini_cmix,0.275213583833
132640,464,3535,114688,9,0,9.94794327665,10.0884640477,9.99229596516,10.1348468183,10.1348468183,-0.140520771051,-0.0443526885092,-0.186903541671,baseline,0
133107,464,3538,114688,9,0,9.5061281062,9.58344041909,9.52735214952,9.60641259001,9.60641259001,-0.0773123128949,-0.021224043322,-0.100284483811,baseline,0
133574,683,5225,114688,6,0,20.1584942594,20.3791601525,20.0746208983,20.2951398928,20.2951398928,-0.22066589307,0.0838733610699,-0.136645633435,donor_profile,0.0838733610699
