recipient_group,rank,source_group,overlap_fraction,overlap_windows,distance,class_match,forced
20,11,6,0.001033,32,13648519,1,False
20,12,16,0.000799,26,3146226,1,False
20,13,5,0.000636,18,14699074,0,False
20,14,4,0.000635,20,15747399,0,False
20,15,0,0.000584,15,19942655,1,False
20,16,2,0.000494,15,17844206,1,False
20,17,17,0.000461,15,2095203,1,False
20,18,1,0.000368,11,18892966,1,False
20,19,3,0.000311,10,16795360,1,False
21,0,15,0.002849,92,5241932,1,False
21,1,7,0.002478,80,13647256,1,False
21,2,8,0.002478,80,12592531,1,False
21,3,20,0.002447,79,0,1,False
21,4,14,0.002168,70,6290301,1,False
21,5,12,0.002106,68,8398189,1,False
21,6,9,0.001549,50,11545753,0,False
21,7,10,0.001456,47,10496737,1,False
21,8,11,0.001425,46,9448771,1,False
21,9,13,0.001363,44,7340576,1,False
21,10,16,0.001084,35,4195143,1,False
21,11,18,0.000898,29,2096396,1,False
21,12,6,0.000871,27,14697436,1,False
21,13,19,0.000867,28,1048917,1,False
21,14,17,0.000650,21,3144120,1,False
21,15,5,0.000636,18,15747991,0,False
21,16,2,0.000494,15,18893123,1,False
21,17,4,0.000476,15,16796316,0,False
21,18,1,0.000301,9,19941883,1,False
21,19,3,0.000280,9,17844277,1,False
21,20,0,0.000195,5,20991572,1,False
22,0,12,0.004034,131,9452926,1,False
22,1,21,0.003097,100,0,1,False
22,2,8,0.003076,100,13647268,1,False
22,3,15,0.002935,95,6296669,1,False
22,4,20,0.002922,95,1054737,1,False
22,5,7,0.002680,87,14701993,1,False
22,6,9,0.002677,87,12600490,0,False
22,7,11,0.002461,80,10503508,1,False
22,8,10,0.002307,75,11551474,1,False
22,9,14,0.001938,63,7345038,1,False
22,10,6,0.001517,47,15752173,1,False
22,11,16,0.001384,45,5249880,1,False
22,12,18,0.001107,36,3151133,1,False
22,13,13,0.000984,32,8395313,1,False
22,14,19,0.000861,28,2103654,1,False
22,15,5,0.000813,23,16802728,0,False
22,16,4,0.000730,23,17851053,0,False
22,17,17,0.000708,23,4198857,1,False
22,18,2,0.000692,21,19947860,1,False
22,19,0,0.000506,13,22046309,1,False
22,20,1,0.000435,13,20996620,1,False
22,21,3,0.000373,12,18899014,1,False
23,0,15,0.003583,116,7341352,1,False
23,1,8,0.003411,111,14691951,1,False
23,2,7,0.003358,109,15746676,1,False
23,3,12,0.002956,96,10497609,1,False
23,4,22,0.002769,90,0,1,False
23,5,20,0.002491,81,2099420,1,False
23,6,21,0.002354,76,1044683,1,False
23,7,9,0.002277,74,13645173,0,False
23,8,11,0.002114,69,11548191,1,False
23,9,14,0.002083,68,8389721,1,False
23,10,10,0.001964,64,12596157,1,False
23,11,6,0.001485,46,16796856,1,False
23,12,16,0.001287,42,6294563,1,False
23,13,13,0.001067,35,9439996,1,False
23,14,18,0.001010,33,4195816,1,False
23,15,19,0.000827,27,3148337,1,False
23,16,5,0.000671,19,17847411,0,False
23,17,4,0.000667,21,18895736,0,False
23,18,17,0.000549,18,5243540,1,False
23,19,2,0.000527,16,20992543,1,False
23,20,0,0.000506,13,23090992,1,False
23,21,1,0.000335,10,22041303,1,False
23,22,3,0.000311,10,19943697,1,False
24,0,23,0.002694,88,0,1,False
24,1,15,0.002440,79,8395586,1,False
24,2,8,0.002059,67,15746185,1,False
24,3,7,0.001879,61,16800910,1,False
24,4,10,0.001872,61,13650391,1,False
24,5,9,0.001754,57,14699407,0,False
24,6,12,0.001694,55,11551843,1,False
24,7,22,0.001692,55,1054234,1,False
24,8,6,0.001581,49,17851090,1,False
24,9,11,0.001532,50,12602425,1,False
24,10,14,0.001470,48,9443955,1,False
24,11,21,0.001208,39,2098917,1,False
24,12,16,0.001195,39,7348797,1,False
24,13,13,0.001133,37,10494230,1,False
24,14,19,0.001103,36,4202571,1,False
24,15,4,0.000984,31,19949970,0,False
24,16,20,0.000922,30,3153654,1,False
24,17,18,0.000919,30,5250050,1,False
24,18,5,0.000813,23,18901645,0,False
24,19,2,0.000692,21,22046777,1,False
24,20,17,0.000674,22,6297774,1,False
24,21,0,0.000545,14,24145226,1,False
24,22,1,0.000502,15,23095537,1,False
24,23,3,0.000373,12,20997931,1,False
25,0,12,0.001447,47,12600624,0,False
25,1,10,0.001320,43,14699172,0,False
25,2,8,0.001260,41,16794966,0,False
25,3,20,0.001230,40,4202435,0,False
25,4,24,0.001198,39,0,0,False
25,5,15,0.001143,37,9444367,0,False
25,6,22,0.001138,37,2103015,0,False
25,7,6,0.001097,34,18899871,0,False
25,8,9,0.001077,35,15748188,1,False
25,9,11,0.001013,33,13651206,0,False
25,10,23,0.000983,32,1048781,0,False
25,11,7,0.000955,31,17849691,0,False
25,12,14,0.000921,30,10492736,0,False
25,13,4,0.000889,28,20998751,1,False
25,14,18,0.000798,26,6298831,0,False
25,15,19,0.000798,26,5251352,0,False
25,16,16,0.000768,25,8397578,0,False
25,17,5,0.000742,21,19950426,1,False
25,18,13,0.000706,23,11543011,0,False
25,19,2,0.000659,20,23095558,0,False
25,20,0,0.000623,16,25194007,0,False
25,21,21,0.000619,20,3147698,0,False
25,22,17,0.000491,16,7346555,0,False
25,23,3,0.000466,15,22046712,0,False
25,24,1,0.000401,12,24144318,0,False
26,0,6,0.001323,41,19947370,1,False
26,1,20,0.001322,43,5249934,1,False
26,2,10,0.001258,41,15746671,1,False
26,3,12,0.001232,40,13648123,1,False
26,4,25,0.001105,36,0,0,False
26,5,19,0.001103,36,6298851,1,False
26,6,18,0.001102,36,7346330,1,False
26,7,22,0.001046,34,3150514,1,False
26,8,8,0.001014,33,17842465,1,False
26,9,21,0.000991,32,4195197,1,False
26,10,15,0.000989,32,10491866,1,False
26,11,14,0.000919,30,11540235,1,False
26,12,24,0.000919,30,1047499,1,False
26,13,9,0.000892,29,16795687,0,False
26,14,7,0.000832,27,18897190,1,False
26,15,13,0.000827,27,12590510,1,False
26,16,5,0.000813,23,20997925,0,False
26,17,23,0.000796,26,2096280,1,False
26,18,16,0.000766,25,9445077,1,False
26,19,4,0.000762,24,22046250,0,False
26,20,2,0.000757,23,24143057,1,False
26,21,11,0.000735,24,14698705,1,False
26,22,0,0.000584,15,26241506,1,False
26,23,17,0.000459,15,8394054,1,False
26,24,3,0.000435,14,23094211,1,False
26,25,1,0.000368,11,25191817,1,False
27,0,26,0.001353,44,0,1,False
27,1,25,0.001046,34,1049665,0,False
27,2,4,0.000952,30,23095915,0,False
27,3,10,0.000923,30,16796336,1,False
27,4,6,0.000904,28,20997035,1,False
27,5,8,0.000861,28,18892130,1,False
27,6,19,0.000861,28,7348516,1,False
27,7,20,0.000861,28,6299599,1,False
27,8,24,0.000861,28,2097164,1,False
27,9,12,0.000832,27,14697788,1,False
27,10,13,0.000830,27,13640175,1,False
27,11,18,0.000800,26,8395995,1,False
27,12,2,0.000790,24,25192722,1,False
27,13,0,0.000778,20,27291171,1,False
27,14,15,0.000772,25,11541531,1,False
27,15,11,0.000769,25,15748370,1,False
27,16,7,0.000739,24,19946855,1,False
27,17,22,0.000738,24,4200179,1,False
27,18,14,0.000738,24,12589900,1,False
27,19,5,0.000707,20,22047590,0,False
27,20,16,0.000677,22,10494742,1,False
27,21,9,0.000646,21,17845352,0,False
27,22,23,0.000646,21,3145945,1,False
27,23,21,0.000619,20,5244862,1,False
27,24,17,0.000554,18,9443719,1,False
27,25,1,0.000468,14,26241482,1,False
27,26,3,0.000404,13,24143876,1,False
28,0,27,0.001107,36,0,1,False
28,1,25,0.001105,36,2093038,0,False
28,2,24,0.001073,35,3140537,1,False
28,3,19,0.000889,29,8391889,1,False
28,4,26,0.000889,29,1043373,1,False
28,5,10,0.000736,24,17839709,1,False
28,6,6,0.000710,22,22040408,1,False
28,7,17,0.000705,23,10487092,1,False
28,8,22,0.000677,22,5243552,1,False
28,9,18,0.000674,22,9439368,1,False
28,10,14,0.000644,21,13633273,1,False
28,11,16,0.000644,21,11538115,1,False
28,12,12,0.000616,20,15741161,1,False
28,13,5,0.000601,17,23090963,0,False
28,14,9,0.000554,18,18888725,0,False
28,15,13,0.000552,18,14683548,1,False
28,16,4,0.000540,17,24139288,0,False
28,17,2,0.000527,16,26236095,1,False
28,18,8,0.000522,17,19935503,1,False
28,19,0,0.000506,13,28334544,1,False
28,20,15,0.000494,16,12584904,1,False
28,21,20,0.000461,15,7342972,1,False
28,22,11,0.000460,15,16791743,1,False
28,23,23,0.000460,15,4189318,1,False
28,24,21,0.000434,14,6288235,1,False
28,25,7,0.000370,12,20990228,1,False
28,26,1,0.000368,11,27284855,1,False
28,27,3,0.000311,10,25187249,1,False
29,0,28,0.003004,98,0,0,False
29,1,24,0.001255,41,4188509,0,False
29,2,26,0.000857,28,2091345,0,False
29,3,25,0.000829,27,3141010,1,False
29,4,6,0.000807,25,23088380,0,False
29,5,19,0.000766,25,9439861,0,False
29,6,5,0.000707,20,24138935,1,False
29,7,10,0.000675,22,18887681,0,False
29,8,2,0.000659,20,27284067,0,False
29,9,0,0.000623,16,29382516,0,False
29,10,4,0.000603,19,25187260,1,False
29,11,9,0.000585,19,19936697,1,False
29,12,14,0.000582,19,14681245,0,False
29,13,18,0.000581,19,10487340,0,False
29,14,12,0.000554,18,16789133,0,False
29,15,7,0.000524,17,22038200,0,False
29,16,22,0.000523,17,6291524,0,False
29,17,27,0.000523,17,1047972,0,False
29,18,1,0.000502,15,28332827,0,False
29,19,15,0.000494,16,13632876,0,False
29,20,11,0.000459,15,17839715,0,False
29,21,21,0.000434,14,7336207,0,False
29,22,8,0.000430,14,20983475,0,False
29,23,17,0.000428,14,11535064,0,False
29,24,23,0.000428,14,5237290,0,False
29,25,20,0.000400,13,8390944,0,False
29,26,13,0.000397,13,15731520,0,False
29,27,16,0.000368,12,12586087,0,False
29,28,3,0.000311,10,26235221,0,False
30,0,26,0.001044,34,3145493,0,False
30,1,25,0.000983,32,4195158,0,False
30,2,10,0.000829,27,19941829,0,False
30,3,4,0.000825,26,26241408,0,False
30,4,5,0.000813,23,25193083,0,False
30,5,27,0.000800,26,2102120,0,False
30,6,24,0.000737,24,5242657,0,False
30,7,28,0.000737,24,1054148,0,False
30,8,15,0.000711,23,14687024,0,False
30,9,6,0.000710,22,24142528,0,False
30,10,19,0.000706,23,10494009,0,False
30,11,22,0.000677,22,7345672,0,False
30,12,14,0.000676,22,15735393,0,False
30,13,29,0.000676,22,0,0,False
30,14,8,0.000645,21,22037623,0,False
30,15,2,0.000626,19,28338215,0,False
30,16,0,0.000623,16,30436664,0,False
30,17,7,0.000585,19,23092348,0,False
30,18,12,0.000585,19,17843281,0,False
30,19,9,0.000585,19,20990845,0,False
30,20,11,0.000584,19,18893863,0,False
30,21,18,0.000584,19,11541488,0,False
30,22,20,0.000553,18,9445092,0,False
30,23,13,0.000553,18,16785668,0,False
30,24,23,0.000553,18,6291438,0,False
30,25,21,0.000527,17,8390355,0,False
30,26,16,0.000522,17,13640235,0,False
30,27,1,0.000468,14,29386975,0,False
30,28,17,0.000399,13,12589212,0,False
30,29,3,0.000311,10,27289369,0,False
31,0,5,0.000813,23,26239229,0,False
31,1,30,0.000737,24,0,1,False
31,2,18,0.000734,24,12587634,0,False
31,3,6,0.000678,21,25188674,0,False
31,4,9,0.000677,22,22036991,0,False
31,5,26,0.000674,22,4191639,0,False
31,6,25,0.000645,21,5241304,0,False
31,7,4,0.000635,20,27287554,0,False
31,8,27,0.000615,20,3148266,0,False
31,9,16,0.000613,20,14686381,0,False
31,10,11,0.000613,20,19940009,0,False
31,11,24,0.000612,20,6288803,0,False
31,12,29,0.000611,20,1046146,0,False
31,13,28,0.000582,19,2100294,0,False
31,14,21,0.000557,18,9436501,0,False
31,15,22,0.000554,18,8391818,0,False
31,16,14,0.000521,17,16781539,0,False
31,17,3,0.000497,16,28335515,0,False
31,18,10,0.000491,16,20987975,0,False
